user_id,first_name, last_name, phone_number, email, password, coachmark_visited, assessment_complete, assessment_skipped, created_date, last_login, last_updated_date
1000010, new, user,1234567890, new_user@gmail.com, $2y$10$njTFfQ8suWkx98nM6BdZD.k.g1S6XZQjo1BqjoVhvIXFDCjIZ5yXa,0,0,0, 2019-12-26 16:32:14, , 2019-12-26 16:32:14
1000011, New, User,1234567890, new_user05@gmail.com, $2y$10$ntqCvHrKLxaKTplLfH.WDuNBG9zo1.rXHV9Lk/WyH4HqLNkjQ1ySy,0,0,0, 2020-01-02 14:01:29, , 2020-01-02 14:01:29
1000012, new, user,1234567890, new_user06@gmail.com, $2y$10$GfnXzYdO8DJM6uz3iaHLC.ER2CnZvDv5JaRLy3qrNncL5nYtLuG/u,0,0,0, 2020-01-02 14:12:51, , 2020-01-02 14:12:51
1000013, New, User,1234567890, new_user07@gmail.com, $2y$10$MQ9Eeh9tAEHJPbPU7Nk1fedYY2CUA1LcsjMDtTP/aIctOberptGFi,0,0,0, 2020-01-03 07:00:29, , 2020-01-03 07:00:29
1000014, New, User,1234567890, new_user08@gmail.com, $2y$10$K8JB5dSN2OxtQaOwSJ5exOKHLDw.NK9hrchiQ8dLc9mbN91Igr3Li,0,0,0, 2020-01-03 07:04:10, , 2020-01-03 07:04:10
1000015, New, User,1234567890, new_user09@gmail.com, $2y$10$cL7PsoZbZtWVGsI2HfZ4rOaq5KPUhXvVqEKwNn2PNwpLoRGzeK3v.,0,0,0, 2020-01-03 07:06:03, , 2020-01-03 07:06:03
1000016, new, user,1234567890, new_user10@gmail.com, $2y$10$Fqqbg2uD4sGSe0.jZPy/TeKJadMiKHODSJOhUENn99.CxBmCj0OJi,0,0,0, 2020-01-03 07:16:46, , 2020-01-03 07:16:46
1000017, new, user,1234567890, new_user11@gmail.com, $2y$10$aK98FNfxvCDKKVXKtzf3E.DUC3owtBWZUAJO6UpTDt6JkRpBIxCn.,0,0,0, 2020-01-03 07:17:14, , 2020-01-03 07:17:14
1000018, new, user,1234567890, new_user12@gmail.com, $2y$10$Pagphh/Vhe7tgurYVSRh.uJfOcLqVBNAvjZU8mUPYVb7yHSOHpxsG,0,0,0, 2020-01-03 07:22:42, , 2020-01-03 07:22:42
1000019, new, user,1234567890, new_user13@gmail.com, $2y$10$hn9NO24ZPmabPSTTfT2XoO.VbBqqkZWzAvf8Xgc0/Co4bOqwChBlS,0,0,0, 2020-01-03 07:23:36, , 2020-01-03 07:23:36
1000020, New, User,1234567890, new_user16@gmail.com, $2y$10$A2xLVwrA4df.WGrt6OyQdOhiqc7nVKgfaROdx3CNALb8Z5t6fI9pu,0,0,0, 2020-01-09 07:46:19, , 2020-01-09 07:46:19
1000021, new, user,1234567890, new_user17@gmail.com, $2y$10$pud0pqGqGFURkMs2438VLerYZzT/K.3AII3g8z72qkZtiX5HVQxMu,0,0,0, 2020-01-09 07:45:28, , 2020-01-09 07:45:28
1000022, New, User,1234567890, new_user18@gmail.com, $2y$10$qsPYmI/Ed.EwTVLpZDHiu.n/2Egxk7xDja8VqjzUAGizXExfLu/m.,0,0,0, 2020-01-08 16:56:16, , 2020-01-08 16:56:16
1000023, New, User,1234567890, new_user19@gmail.com, $2y$10$KECtgCKD84/fizw6KIu13O4S39YJ.p79kq/JGv4i5bJjd4.PHdlA.,0,0,0, 2020-01-08 16:55:35, , 2020-01-08 16:55:35
1000024, new, user,1234567890, new_user2@gmail.com, $2y$10$iKA.odtRXPXtd8LcgtNGxufdQiiQLf.Z/pfY58yBFeJKKXzO5Ikcq,0,0,0, 2019-12-26 17:01:56, , 2019-12-26 17:01:56
1000025, new, user,1234567890, new_user20@gmail.com, $2y$10$MkRp822f2BijEeenhKmXSuNvxtY0w.9.xDAK5tfXnzS110NSJ4bIq,0,0,0, 2020-01-09 16:56:04, , 2020-01-09 16:56:04
1000026, new, user,1234567890, new_user21@gmail.com, $2y$10$bqGb/.jQudKPqkWtc6GMkeWDSHIna2UC8aOp6vSSf8n0dSqFx8KRi,0,0,0, 2020-01-09 17:01:42, , 2020-01-09 17:01:42
1000027, new, user,1234567890, new_user22@gmail.com, $2y$10$Mco2rbbYhg6xNlR9I9pjve0eFgzdqJ9KzsgVzvU1z5HBlq/qSgSYa,0,0,0, 2020-01-14 01:07:52, , 2020-01-14 01:07:52
1000028, New, user,1234567890, new_user23@gmail.com, $2y$10$cfNg58RRgbQ05UWu3Po1RuWzNI66z2MhUULRTzL73B2Rp5RFWUjGK,0,0,0, 2020-01-14 07:32:03, , 2020-01-14 07:32:03
1000029, New, User,1234567890, new_user24@gmail.com, $2y$10$B5t9lrntNCCuOZOKuoQ1OOwFHItAVp8Mq3hsWH3LyJcCt15gI.4EO,0,0,0, 2020-01-20 07:21:16, , 2020-01-20 07:21:16
1000030, New, User,1234567890, new_user25@gmail.com, $2y$10$XbP5hyRYJgHMbLLYl6Azp.HBxxsS1DMcNlReD8O9XmA5lzR5iEy16,0,0,0, 2020-01-21 14:23:59, , 2020-01-21 14:23:59
1000031, new, user,1234567890, new_user26@gmail.com, $2y$10$FnT2.chP.3SgnHpTX.UAvurpzh7HUW6xNDE3q8tYbAJHtkqYAGKBm,0,0,0, 2020-01-21 14:30:08, , 2020-01-21 14:30:08
1000032, new, user,1234567890, new_user27@gmail.com, $2y$10$Zn3xejruzhzTjC9wzRvt7ulqRPMUOyJKv4OTliQr26KO361jJPFoS,0,0,0, 2020-01-21 14:52:06, , 2020-01-21 14:52:06
1000033, new, user,1234567890, new_user28@gmail.com, $2y$10$i8e1jgoRZOpgmqzes3qoPOaFwsaIeEZlXOK0w40dV2CPUyuX50Jz6,0,0,0, 2020-01-21 14:53:55, , 2020-01-21 14:53:55
1000034, new, user,1234567890, new_user29@gmail.com, $2y$10$vtJN0BMJaKN21DigbrOliuI2trOiI30CyPhcE8wQZqTS2QDkVbEi.,0,0,0, 2020-01-21 14:55:29, , 2020-01-21 14:55:29
1000035, new, user,1234567890, new_user30@gmail.com, $2y$10$0Zt2vD5ZGqh77VOp0uN.2uTDQjSV7XJGYywXYVVoD05Tu2IL9eF.C,0,0,1, 2020-01-21 14:56:20, , 2020-01-21 14:56:20
1000036, new, user,1234567890, new_user31@gmail.com, $2y$10$qbvoojd248koWOAgJX5DbeFQC2JzeVAmQiYGkgD4/MY.5aDA9/ctC,0,0,0, 2020-01-21 14:56:55, , 2020-01-21 14:56:55
1000037, New, User,1234567890, new_user32@gmail.com, $2y$10$BUkPQtH0oWjBiY/yEsljCuigRwDvbqKYK8eMHjdX1wwAc6wKPfpJe,0,0,0, 2020-01-27 23:44:30, , 2020-01-27 23:44:30
1000038, New, User,1234567890, new_user46@gmail.com, $2y$10$DGbZFo6pJi1.uwWVi/VsrePtrgYJi1goiH7qeoobQzuDXcc4PhSMi,0,1,0, 2020-02-12 19:14:38, 2020-10-27 19:39:08, 2020-02-12 19:14:38
1000039, New , User,1234567890, new_user47@gmail.com, $2y$10$HA/lfN5cCBB5ScJK8nZ9yeaGdMd8lLOSedvm0o95CInN5FX/keBrG,0,0,0, 2020-02-12 19:28:56, , 2020-02-12 19:28:56
1000040, New, User,1234567890, new_user48@gmail.com, $2y$10$fpnoOA2vFHzF1Rea3RHdOenGNIRhtvURFb5wyCZVnPeodfMW1q7X6,0,0,0, 2020-02-13 01:47:35, , 2020-02-13 01:47:35
1000041, New, User,1234567890, new_user49@gmail.com, $2y$10$e7cI926YszTB1.HCPqyXzO5RIZjiTIDDGLtCjKE2Blp3NPpG20rJi,0,0,0, 2020-02-14 23:10:37, , 2020-02-14 23:10:37
1000042, New, User,1234567890, new_user51@gmail.com, $2y$10$XVf5HlomRNgVstq3suKTaOjvZlEwrFPTU6tNFtSvIxZbKCrzLXIcy,0,0,0, 2020-03-26 01:29:33, , 2020-03-26 01:29:33
1000043, New, User,1234567890, new_user52@gmail.com, $2y$10$725/Vmjpa/vGV2vqs2NxYeWcgRhyMiKHRoOAy8yqAugnzB1.BCTdG,0,0,0, 2020-03-02 22:32:43, , 2020-03-02 22:32:43
1000044, New, User,1234567890, new_user53@gmail.com, $2y$10$ZdVfpNdOIAvO.ReucEunSuRXS4SfLwl.lnioREWdq0mt08UNTf44m,0,0,0, 2020-06-20 17:21:54, , 2020-06-20 17:21:54
1000045, New, User,1234567890, new_user54@gmail.com, $2y$10$UMbH906ASDxPpSaPsGHW5eZwF6jEdAJqyYyB81soqKoCV/8UQj1ki,0,0,0, 2020-07-30 03:21:32, , 2020-07-30 03:21:32
1000046, New, User,1234567890, new_user55@gmail.com, $2y$10$Izm/bBxvlnmilUPUA4WdceRSwVhTOHgXBGVTx1PKpCHbfwcaMpdP2,0,0,0, 2020-07-21 20:14:11, , 2020-07-21 20:14:11
1000047, new, user,1234567890, new_user56@gmail.com, $2y$10$5sd2P3f9FsgnwTpsBGEHj.MnlyykHXKkvIXZ0U5tZ5XwuYs6bHHx2,0,0,0, 2020-08-10 05:06:24, , 2020-08-10 05:06:24
1000048, New, User,1234567890, new_user57@gmail.com, $2y$10$w7tAaMunSTyRdkGOJl.h6uLSxJhlbdpBX7HL.WJgZjmu/hAv65/W2,0,0,0, 2020-08-12 04:27:11, , 2020-08-12 04:27:11
1000049, New, User,1234567890, new_user58@gmail.com, $2y$10$KcSL0.OaF763pktVEeiM4urjMebgZdtgvVGuVv6fJfrEj06hiTu7O,0,0,1, 2020-09-26 17:31:07, 2020-09-26 17:34:14, 2020-09-26 17:31:07
1000050, New, User,1234567890, new_user59@gmail.com, $2y$10$gx3GCS.Yg1GI5onro2RlbuJ.eLiZiF9e1iMnO1vMQnM.ZFRlZPPoC,0,0,0, 2021-04-11 21:48:21, 2021-04-12 21:48:19, 2021-04-11 21:48:21
1000051, New, User,1234567890, new_user60@gmail.com, $2y$10$S2wYigpcEXKjhr/GlPlw2Ovwce93IHj7zQBuRLBvT/wjSbh9m8vrG,0,0,0, 2020-03-08 04:35:06, , 2020-03-08 04:35:06
1000052, New, User,1234567890, new_user61@gmail.com, $2y$10$nl9RHPDLacjFLtZg4N4NRexkJD6nlCM/pSuljCkynw6C7WHLDcB7S,0,0,0, 2021-04-14 22:06:14, 2021-04-14 22:06:14, 2021-04-14 22:06:14
1000053, New, User,1234567890, new_user62@gmail.com, $2y$10$N6/iL6Sqv2ZQ0YXTw1EVqeMmjtQDTaD8/2EwSuHc4LxDGR/SpWbiu,0,0,1, 2020-10-19 16:25:59, 2020-10-19 16:25:59, 2020-10-19 16:25:59
1000054, New, User,1234567890, newuser62@gmail.com, $2y$10$XZzttNyR.FkbGh0vmfMF5.ZcXEvKjiyQV9Sy8sbRKjotCgSQ9KB8G,0,0,0, 2020-12-21 19:45:38, 2020-12-21 19:49:11, 2020-12-21 19:45:38user_id,first_name,last_name,phone_number,email,password,coachmark_visited,assessment_complete,assessment_skipped,created_date,last_login,last_updated_date
user_id,first_name,last_name,phone_number,email,password,coachmark_visited,assessment_complete,assessment_skipped,created_date,last_login,last_updated_date
10000541,Aditya,R Rudra,6260749212,adityaberasia@gmail.com,$2b$04$gY8VPIlMVIDKlBA5h/.Q3u1NuthpUr8hcc5JmrV4CmmzTgyM0/XH6,0,0,0,2021-04-23T20:29:54.241Z,,2021-04-23T20:29:54.241Z
